прогон pid-76106 · ходов: 25 · уже в истории: 0
ход | оценка | вход | ошибка | из кэша | выход | цена хода | всего вход | всего $
  1 |    102 |    90 |    +12 |       0 |   221 | $0.000166 |         90 | $0.000166
  2 |    405 |   334 |    +71 |     256 |   212 | $0.000159 |        424 | $0.000325
  3 |    702 |   564 |   +138 |     512 |   215 | $0.000157 |        988 | $0.000481
  4 |    971 |   792 |   +179 |     768 |   194 | $0.000139 |       1780 | $0.000620
  5 |   1254 |  1014 |   +240 |     896 |   210 | $0.000171 |       2794 | $0.000791
  6 |   1540 |  1247 |   +293 |    1152 |   227 | $0.000179 |       4041 | $0.000970
  7 |   1833 |  1491 |   +342 |    1408 |   224 | $0.000176 |       5532 | $0.001146
  8 |   2117 |  1739 |   +378 |    1664 |   238 | $0.000185 |       7271 | $0.001331
  9 |   2438 |  1998 |   +440 |    1920 |   264 | $0.000205 |       9269 | $0.001536
 10 |   2773 |  2279 |   +494 |    2176 |   252 | $0.000204 |      11548 | $0.001740
 11 |   3119 |  2552 |   +567 |    2432 |   258 | $0.000214 |      14100 | $0.001954
 12 |   3447 |  2826 |   +621 |    2688 |   253 | $0.000216 |      16926 | $0.002170
 13 |   3806 |  3098 |   +708 |    3072 |   261 | $0.000199 |      20024 | $0.002369
 14 |   4155 |  3374 |   +781 |    3328 |   256 | $0.000202 |      23398 | $0.002572
 15 |   4505 |  3652 |   +853 |    3584 |   258 | $0.000210 |      27050 | $0.002782
 16 |   4829 |  3932 |   +897 |    3840 |   245 | $0.000209 |      30982 | $0.002991
 17 |   5154 |  4198 |   +956 |    4096 |   248 | $0.000215 |      35180 | $0.003206
 18 |   5466 |  4468 |   +998 |    4352 |   255 | $0.000224 |      39648 | $0.003430
 19 |   5802 |  4742 |  +1060 |    4608 |   279 | $0.000246 |      44390 | $0.003676
 20 |   6132 |  5041 |  +1091 |    4992 |   246 | $0.000208 |      49431 | $0.003884
 21 |   6458 |  5305 |  +1153 |    5248 |   263 | $0.000223 |      54736 | $0.004107
 22 |   6805 |  5584 |  +1221 |    5504 |   247 | $0.000219 |      60320 | $0.004326
 23 |   7120 |  5849 |  +1271 |    5760 |   254 | $0.000228 |      66169 | $0.004553
 24 |   7442 |  6125 |  +1317 |    6016 |   255 | $0.000234 |      72294 | $0.004788
 25 |   7764 |  6406 |  +1358 |    6272 |   248 | $0.000237 |      78700 | $0.005025
